Single particle energy:
 jp:    1.50    2.50    0.50
 ep:      1.92509049     -3.99830951     -3.16067184
 ep:
Single particle energy:
 jn:    1.50    2.50    0.50
 en:      1.92509049     -3.99830951     -3.16067184
 en:
Two body matrix elements proton-proton:
    j1   j2   j3   j4   I      val
1    1    1    1    1   0     -0.30874120
1    1    1    2    2   0     -0.33548953
1    1    1    3    3   0     -0.24011753
1    2    2    2    2   0     -0.44570423
1    2    2    3    3   0     -0.29408272
1    3    3    3    3   0     -0.13000000
1    1    2    1    2   2     -0.03481514
1    1    3    1    3   2      0.03978874
1    1    1    1    1   4     -0.02690514
1    1    1    1    2   4      0.07003491
1    1    1    1    3   4      0.09665735
1    1    1    2    2   4     -0.07169408
1    1    1    2    3   4     -0.11838060
1    1    2    1    2   4     -0.05190838
1    1    2    1    3   4     -0.08948732
1    1    2    2    2   4      0.04105442
1    1    2    2    3   4      0.10959914
1    1    3    1    3   4     -0.08371550
1    1    3    2    2   4      0.12655418
1    1    3    2    3   4      0.15126118
1    2    2    2    2   4     -0.10182733
1    2    2    2    3   4     -0.15499659
1    2    3    2    3   4     -0.14546762
1    1    2    1    2   6      0.03978874
1    2    3    2    3   6      0.03978874
1    1    2    1    2   8     -0.00795775
1    1    2    2    2   8      0.02387324
1    2    2    2    2   8      0.02785212
Two body matrix elements neutron-neutron:
    j1   j2   j3   j4   I      val
1    1    1    1    1   0     -0.30874120
1    1    1    2    2   0     -0.33548953
1    1    1    3    3   0     -0.24011753
1    2    2    2    2   0     -0.44570423
1    2    2    3    3   0     -0.29408272
1    3    3    3    3   0     -0.13000000
1    1    2    1    2   2     -0.03481514
1    1    3    1    3   2      0.03978874
1    1    1    1    1   4     -0.02690514
1    1    1    1    2   4      0.07003491
1    1    1    1    3   4      0.09665735
1    1    1    2    2   4     -0.07169408
1    1    1    2    3   4     -0.11838060
1    1    2    1    2   4     -0.05190838
1    1    2    1    3   4     -0.08948732
1    1    2    2    2   4      0.04105442
1    1    2    2    3   4      0.10959914
1    1    3    1    3   4     -0.08371550
1    1    3    2    2   4      0.12655418
1    1    3    2    3   4      0.15126118
1    2    2    2    2   4     -0.10182733
1    2    2    2    3   4     -0.15499659
1    2    3    2    3   4     -0.14546762
1    1    2    1    2   6      0.03978874
1    2    3    2    3   6      0.03978874
1    1    2    1    2   8     -0.00795775
1    1    2    2    2   8      0.02387324
1    2    2    2    2   8      0.02785212
Two body matrix elements proton-neutron:
    j1   j2   j3   j4   I      val
1    1    1    1    1   0      0.12248240
1    1    1    2    2   0      0.03411174
1    1    1    3    3   0      0.11253954
1    2    2    2    2   0      0.13640846
1    2    2    3    3   0      0.13783222
1    3    3    3    3   0      0.02500000
1    1    1    1    1   2      0.04449648
1    1    1    1    2   2     -0.03899296
1    1    1    1    3   2      0.07877768
1    1    1    2    1   2      0.03899296
1    1    1    2    2   2      0.01935386
1    1    1    3    1   2     -0.07877768
1    1    1    3    3   2     -0.05032921
1    1    2    1    2   2      0.10298592
1    1    2    1    3   2      0.03938884
1    1    2    2    1   2     -0.00835563
1    1    2    2    2   2      0.03573020
1    1    2    3    1   2     -0.03938884
1    1    2    3    3   2      0.10065842
1    1    3    1    3   2      0.02500000
1    1    3    2    1   2     -0.03938884
1    1    3    2    2   2     -0.04210844
1    1    3    3    1   2     -0.07957747
1    2    1    2    1   2      0.10298592
1    2    1    2    2   2     -0.03573020
1    2    1    3    1   2      0.03938884
1    2    1    3    3   2     -0.10065842
1    2    2    2    2   2      0.09821127
1    2    2    3    1   2      0.04210844
1    2    2    3    3   2      0.09415733
1    3    1    3    1   2      0.02500000
1    3    3    3    3   2      0.02500000
1    1    1    1    1   4     -0.03348944
1    1    1    1    2   4     -0.02552689
1    1    1    1    3   4     -0.03523045
1    1    1    2    1   4      0.02552689
1    1    1    2    2   4     -0.00364670
1    1    1    2    3   4      0.04314831
1    1    1    3    1   4      0.03523045
1    1    1    3    2   4      0.04314831
1    1    2    1    2   4      0.01385915
1    1    2    1    3   4      0.08072310
1    1    2    2    1   4     -0.01870071
1    1    2    2    2   4      0.03819719
1    1    2    2    3   4      0.01883147
1    1    2    3    1   4      0.03459561
1    1    2    3    2   4     -0.07532587
1    1    3    1    3   4      0.02500000
1    1    3    2    1   4      0.03459561
1    1    3    2    2   4     -0.04612748
1    1    3    3    1   4      0.01591549
1    1    3    3    2   4     -0.07796968
1    2    1    2    1   4      0.01385915
1    2    1    2    2   4     -0.03819719
1    2    1    2    3   4      0.07532587
1    2    1    3    1   4      0.08072310
1    2    1    3    2   4     -0.01883147
1    2    2    2    2   4      0.03614085
1    2    2    2    3   4      0.05649440
1    2    2    3    1   4      0.04612748
1    2    2    3    2   4      0.05649440
1    2    3    2    3   4      0.02500000
1    2    3    3    1   4      0.07796968
1    2    3    3    2   4      0.01591549
1    3    1    3    1   4      0.02500000
1    3    2    3    2   4      0.02500000
1    1    1    1    1   6      0.04449648
1    1    1    1    2   6      0.02728939
1    1    1    2    1   6     -0.02728939
1    1    1    2    2   6     -0.02148592
1    1    1    2    3   6     -0.01378322
1    1    1    3    2   6     -0.01378322
1    1    2    1    2   6     -0.03627465
1    1    2    2    1   6     -0.01830282
1    1    2    2    2   6      0.01169545
1    1    2    2    3   6      0.04501582
1    1    2    3    2   6      0.04501582
1    2    1    2    1   6     -0.03627465
1    2    1    2    2   6     -0.01169545
1    2    1    2    3   6     -0.04501582
1    2    1    3    2   6     -0.04501582
1    2    2    2    2   6     -0.02115493
1    2    2    2    3   6      0.08269933
1    2    2    3    2   6      0.08269933
1    2    3    2    3   6      0.02500000
1    2    3    3    2   6      0.07957747
1    3    2    3    2   6      0.02500000
1    1    2    1    2   8      0.05285212
1    1    2    2    1   8      0.01193662
1    1    2    2    2   8     -0.03376186
1    2    1    2    1   8      0.05285212
1    2    1    2    2   8      0.03376186
1    2    2    2    2   8     -0.03070423
1    2    2    2    2  10      0.06478874
